Date,Zone_ID,Bird_Age_Days,Total_Alive_Birds,Max_Temperature_C,Avg_Humidity_Percent,Avg_Water_Intake_ml,Avg_Feed_Intake_g,Health_Status,Target_Feed_g,Target_Water_ml,Feed_Deficit_Pct,Water_Spike_Pct,Temp_Avg_3D,Temp_Change_3D,Target_Status
2023-01-03,Zone_A,18,9904,27.330477110651646,68.54153125103362,239.99492150186708,103.83913665835168,Healthy,106.39999999999999,223.44,0.02406826448917589,0.07409112738035753,27.046846310447208,0.0,Healthy
2023-01-03,Zone_B,7,9970,27.330477110651646,68.54153125103362,116.2634262122534,51.33226776831855,Healthy,53.6,112.56,0.042308437158236,0.03290179648412762,27.046846310447208,0.0,Healthy
2023-01-03,Zone_C,39,9779,27.330477110651646,68.54153125103362,401.01233342789726,208.9310614753994,Healthy,207.2,435.12,0.0,0.0,27.046846310447208,0.0,Healthy
2023-01-03,Zone_D,35,9801,27.330477110651646,68.54153125103362,406.4618642312875,189.4803964937358,Healthy,188.0,394.8,0.0,0.02953866319981635,27.046846310447208,0.0,Healthy
2023-01-04,Zone_A,19,9902,28.563380758403763,68.49448152205356,226.7960792182267,104.62353418684569,Healthy,111.2,233.52,0.05914087961469707,0.0,26.903497127907638,-0.43004754761870245,At_Risk
2023-01-04,Zone_B,8,9969,28.563380758403763,68.49448152205356,124.32565388130705,60.869437520447384,Healthy,58.4,122.64,0.0,0.01374473158273848,26.903497127907638,-0.43004754761870245,Healthy
2023-01-04,Zone_C,40,9777,28.563380758403763,68.49448152205356,438.3424547503463,214.74823206046787,Healthy,212.0,445.20000000000005,0.0,0.0,26.903497127907638,-0.43004754761870245,Healthy
2023-01-04,Zone_D,36,9798,28.563380758403763,68.49448152205356,421.57724346672643,197.51724753954076,Healthy,192.79999999999998,404.88,0.0,0.04123998089983806,26.903497127907638,-0.43004754761870245,Healthy
2023-01-05,Zone_A,20,9865,27.375634518128862,68.45393812074393,181.806418945051,75.363983706422,At_Risk,116.0,243.60000000000002,0.35031048528946546,0.0,27.75649746239476,2.559001003461354,Healthy
2023-01-05,Zone_B,9,9968,27.375634518128862,68.45393812074393,126.8466888899968,62.73065410699387,Healthy,63.199999999999996,132.72,0.007426359066552663,0.0,27.75649746239476,2.559001003461354,Healthy
2023-01-05,Zone_C,41,9775,27.375634518128862,68.45393812074393,479.9787584083089,223.84622393180246,Healthy,216.79999999999998,455.28,0.0,0.05424960114283287,27.75649746239476,2.559001003461354,Healthy
2023-01-05,Zone_D,37,9796,27.375634518128862,68.45393812074393,420.96257939815064,205.53192402493855,Healthy,197.6,414.96,0.0,0.014465441001905385,27.75649746239476,2.559001003461354,Healthy
2023-01-06,Zone_A,21,9865,30.031569998201434,77.69018283232984,269.5567521042759,120.62688857902072,Healthy,120.8,253.68,0.0014330415643980308,0.06258574623256034,28.656861758244688,2.7010928875497875,Healthy
2023-01-06,Zone_B,10,9966,30.031569998201434,77.69018283232984,143.29721285377644,70.2355748119006,Healthy,68.0,142.8,0.0,0.0034818827295268343,28.656861758244688,2.7010928875497875,Healthy
2023-01-06,Zone_C,42,9773,30.031569998201434,77.69018283232984,428.3625971960532,222.4133675232107,Healthy,221.6,465.36,0.0,0.0,28.656861758244688,2.7010928875497875,Healthy
2023-01-06,Zone_D,38,9794,30.031569998201434,77.69018283232984,450.1665633910774,205.29118337895912,Healthy,202.4,425.04,0.0,0.05911576178966063,28.656861758244688,2.7010928875497875,Healthy
2023-01-07,Zone_A,22,9863,27.940686163448227,67.49121478207732,267.22845570735353,130.1989802393352,Healthy,125.6,263.76,0.0,0.013150044386387404,28.449296893259504,-0.6226945949555365,Healthy
2023-01-07,Zone_B,11,9963,27.940686163448227,67.49121478207732,153.47364862977312,74.29463476522609,Healthy,72.8,152.88,0.0,0.0038831019739215583,28.449296893259504,-0.6226945949555365,Healthy
2023-01-07,Zone_C,43,9771,27.940686163448227,67.49121478207732,469.20865236086235,220.0422071818467,Healthy,226.4,475.44000000000005,0.02808212375509414,0.0,28.449296893259504,-0.6226945949555365,Healthy
2023-01-07,Zone_D,39,9791,27.940686163448227,67.49121478207732,440.2739141982535,195.07038810988098,Healthy,207.2,435.12,0.05854059792528479,0.011844811082583005,28.449296893259504,-0.6226945949555365,Healthy
2023-01-08,Zone_A,23,9861,29.80987443550892,68.82706433312427,269.23241939255735,123.01742620946501,Healthy,130.39999999999998,273.84,0.056614829682016594,0.0,29.260710199052863,2.434239917380058,Healthy
2023-01-08,Zone_B,12,9960,29.80987443550892,68.82706433312427,161.9086752170763,75.10973135633608,Healthy,77.6,162.96,0.03209109076886482,0.0,29.260710199052863,2.434239917380058,Healthy
2023-01-08,Zone_C,44,9768,29.80987443550892,68.82706433312427,488.91044078744454,248.64344721439497,Healthy,231.2,485.52,0.0,0.006983112513273523,29.260710199052863,2.434239917380058,Healthy
2023-01-08,Zone_D,40,9789,29.80987443550892,68.82706433312427,411.0305221979547,211.36869863430292,Healthy,212.0,445.20000000000005,0.002977836630646622,0.0,29.260710199052863,2.434239917380058,Healthy
2023-01-09,Zone_A,24,9859,30.15408662360726,82.31621056242643,287.3446128574144,134.15971190246367,Healthy,135.2,283.92,0.007694438591244963,0.012061893693344561,29.301549074188134,0.12251662540582586,Healthy
2023-01-09,Zone_B,13,9957,30.15408662360726,82.31621056242643,180.9501623929472,78.54803718800603,Healthy,82.4,173.04000000000002,0.0467471215047812,0.04571291258060085,29.301549074188134,0.12251662540582586,Healthy
2023-01-09,Zone_C,45,9764,30.15408662360726,82.31621056242643,477.57230309614914,243.46734158008636,Healthy,236.0,495.6,0.0,0.0,29.301549074188134,0.12251662540582586,Healthy
2023-01-09,Zone_D,41,9784,30.15408662360726,82.31621056242643,465.9673719066154,204.64314758346532,Healthy,216.79999999999998,455.28,0.05607404251169125,0.02347428375201075,29.301549074188134,0.12251662540582586,Healthy
2023-01-10,Zone_A,25,9858,28.277497243318763,67.16851135198614,288.07912630759347,140.55804764449078,Healthy,140.0,294.0,0.0,0.0,29.413819434144983,0.33681107987053593,Healthy
2023-01-10,Zone_B,14,9954,28.277497243318763,67.16851135198614,175.33883775769903,87.43914765612342,Healthy,87.2,183.12,0.0,0.0,29.413819434144983,0.33681107987053593,Healthy
2023-01-10,Zone_C,46,9762,28.277497243318763,67.16851135198614,537.0308331971708,231.94410577585998,Healthy,240.79999999999998,505.68,0.03677696936935217,0.06199737620070152,29.413819434144983,0.33681107987053593,Healthy
2023-01-10,Zone_D,42,9783,28.277497243318763,67.16851135198614,480.50313489100597,218.7452467203529,Healthy,221.6,465.36,0.01288246064822698,0.03254068869478674,29.413819434144983,0.33681107987053593,Healthy
2023-01-11,Zone_A,26,9855,30.928399081487207,76.53571377141213,306.32573854810016,135.48945710542137,Healthy,144.8,304.08000000000004,0.0642993293824492,0.007385354341292162,29.78666098280441,1.1185246459782867,Healthy
2023-01-11,Zone_B,15,9953,30.928399081487207,76.53571377141213,183.6408449063342,94.8771081681405,Healthy,92.0,193.20000000000002,0.0,0.0,29.78666098280441,1.1185246459782867,Healthy
2023-01-11,Zone_C,47,9759,30.928399081487207,76.53571377141213,521.8869126026699,250.7275539406204,Healthy,245.6,515.76,0.0,0.011879386929327409,29.78666098280441,1.1185246459782867,Healthy
2023-01-11,Zone_D,43,9780,30.928399081487207,76.53571377141213,462.50756185490894,229.5374349852046,Healthy,226.4,475.44000000000005,0.0,0.0,29.78666098280441,1.1185246459782867,Healthy
2023-01-12,Zone_A,27,9854,31.263544307599226,66.42824290986816,320.11437401734594,160.76479467469022,Healthy,149.6,314.16,0.0,0.01895331683647158,30.156480210801732,1.109457683991966,Healthy
2023-01-12,Zone_B,16,9950,31.263544307599226,66.42824290986816,195.3546684030476,99.34217557263018,Healthy,96.8,203.28,0.0,0.0,30.156480210801732,1.109457683991966,Healthy
2023-01-12,Zone_C,48,9756,31.263544307599226,66.42824290986816,508.57809638871737,262.0044933193381,Healthy,250.39999999999998,525.8399999999999,0.0,0.0,30.156480210801732,1.109457683991966,Healthy
2023-01-12,Zone_D,44,9776,31.263544307599226,66.42824290986816,501.485065955221,235.01739801230872,Healthy,231.2,485.52,0.0,0.032882406399779636,30.156480210801732,1.109457683991966,Healthy
2023-01-13,Zone_A,28,9852,30.378648131592353,66.23131917821256,313.6592669281123,148.9063588826328,Healthy,154.4,324.24,0.03558057718502084,0.0,30.856863840226264,2.1011508882735903,Healthy
2023-01-13,Zone_B,17,9947,30.378648131592353,66.23131917821256,215.7213899578021,102.98644162565483,Healthy,101.6,213.35999999999999,0.0,0.011067631973200777,30.856863840226264,2.1011508882735903,Healthy
2023-01-13,Zone_C,49,9754,30.378648131592353,66.23131917821256,567.079119305206,255.33272331228966,Healthy,255.2,535.92,0.0,0.05814136308629272,30.856863840226264,2.1011508882735903,Healthy
2023-01-13,Zone_D,45,9774,30.378648131592353,66.23131917821256,508.0032295020935,261.678396932606,Healthy,236.0,495.6,0.0,0.02502669391060027,30.856863840226264,2.1011508882735903,Healthy
2023-01-14,Zone_A,29,9849,28.906916095533134,72.41236207621593,343.8681858073947,157.77698898304496,Healthy,159.2,334.32,0.008938511413034108,0.028560019763683605,30.18303617824157,-2.021482985954073,Healthy
2023-01-14,Zone_B,18,9946,28.906916095533134,72.41236207621593,215.87169646539184,106.09004014773234,Healthy,106.39999999999999,223.44,0.0029131565062749344,0.0,30.18303617824157,-2.021482985954073,Healthy
2023-01-14,Zone_C,50,9751,28.906916095533134,72.41236207621593,564.7037496680247,255.35624449850297,Healthy,260.0,546.0,0.017860598082680867,0.034255951772938956,30.18303617824157,-2.021482985954073,Healthy
2023-01-14,Zone_D,46,9771,28.906916095533134,72.41236207621593,509.18296522337704,228.80104408344613,Healthy,240.79999999999998,505.68,0.049829551148479465,0.006927237034047287,30.18303617824157,-2.021482985954073,Healthy
2023-01-15,Zone_A,30,9846,29.446718182375378,70.76862552972764,328.65444117708535,164.38184919300576,Healthy,164.0,344.40000000000003,0.0,0.0,29.577427469833623,-1.816826125223848,Healthy
2023-01-15,Zone_B,19,9942,29.446718182375378,70.76862552972764,243.63656505225163,113.69436957328591,Healthy,111.2,233.52,0.0,0.04332204972701103,29.577427469833623,-1.816826125223848,Healthy
2023-01-15,Zone_C,51,9748,29.446718182375378,70.76862552972764,535.2197700721599,250.20772605459845,Healthy,264.79999999999995,556.0799999999999,0.055106774718283624,0.0,29.577427469833623,-1.816826125223848,Healthy
2023-01-15,Zone_D,47,9765,29.446718182375378,70.76862552972764,526.3856397875683,250.64743318176153,Healthy,245.6,515.76,0.0,0.020601907452241885,29.577427469833623,-1.816826125223848,Healthy
2023-01-16,Zone_A,31,9844,32.50766496061792,75.677828200903,363.71620683051515,175.2414199071061,Healthy,168.79999999999998,354.47999999999996,0.0,0.02605565005223197,30.287099746175475,2.12901682902557,Healthy
2023-01-16,Zone_B,20,9940,32.50766496061792,75.677828200903,236.0695911095459,119.52161718308876,Healthy,116.0,243.60000000000002,0.0,0.0,30.287099746175475,2.12901682902557,Healthy
